"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RR LM","Mapping: Workflow Mapping","Mapping: W5 Mapping","Mapping: RIM Mapping"
"Communication","","","",0,*,"Y","","","","A record of information transmitted from a sender to a receiver","An occurrence of information being transmitted; e.g. an alert that was sent to a responsible provider, a public health agency was notified about a reportable condition.","","","","","","","","","",,,,,"",,,,"Communication",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-1:If the resource is contained in another resource, it SHALL NOT contain any narrative {contained.text.empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource {contained.where(('#'+id in %resource.descendants().reference).not()).empty()}com-1:Not Done Reason can only be specified if NotDone is ""true"" {notDone or notDoneReason.exists().not()}","Event","workflow.encounter","Entity. Role, or Act"
"Communication.id","","","",0,1,"","","Y","id
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Communication.meta","","","",0,1,"","","Y","Meta
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"",""
"Communication.topic.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://fhir.hl7.org/us/case/StructureDefinition/extension-topic-dor-rule""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Communication.topic.extension.valueString","","","",0,1,"","","","string
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","","N/A"
"Communication.topic.reference","","","",0,1,"","","Y","string
","Literal reference, Relative, internal or absolute URL","A reference to a location at which the other resource is found. The reference may be a relative reference, in which case it is relative to the service base URL, or an absolute URL that resolves to the location where the resource is found. The reference may be version specific or not. If the reference is not to a FHIR RESTful server, then it should be assumed to be version specific. Internal fragment references (start with '#') refer to contained resources.","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""/[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.","","","","","","","","",,,,,"",,,,"Reference.reference",0,1,"ref-1
","","N/A"
"Communication.topic.identifier","","","",0,1,"","","Y","Identifier
","Logical reference, when literal reference is not known","An identifier for the other resource. This is used when there is no way to reference the other resource directly, either because the entity is not available through a FHIR server, or because there is no way for the author of the resource to convert a known identifier to an actual location. There is no requirement that a Reference.identifier point to something that is actually exposed as a FHIR instance, but it SHALL point to a business concept that would be expected to be exposed as a FHIR instance, and that instance would need to be of a FHIR resource type allowed by the reference.","When an identifier is provided in place of a reference, any system processing the reference will only be able to resolve the identifier to a reference if it understands the business context in which the identifier is used. Sometimes this is global (e.g. a national identifier) but often it is not. For this reason, none of the useful mechanisms described for working with references (e.g. chaining, includes) are possible, nor should servers be expected to be able resolve the reference. Servers may accept an identifier based reference untouched, resolve it, and/or reject it - see CapabilityStatement.rest.resource.referencePolicy. 

When both an identifier and a literal reference are provided, the literal reference is preferred. Applications processing the resource are allowed - but not required - to check that the identifier matches the literal reference

Applications converting a logical reference to a literal reference may choose to leave the logical reference present, or remove it.","","","","","","","","",,,,,"",,,,"Reference.identifier",0,1,"","",".identifier"
"Communication.topic.display","topicSubject","","",0,1,"Y","","Y","string
","Subject line","A succinct, human-readable narrative text that can be used as a subject header in a message queue, much like an email subject.","This is generally not the same as the Resource.text of the referenced resource.  The purpose is to identify what's being referenced, not to fully describe it.","","","","","","","","",,,,,"",,,,"Reference.display",0,1,"","","RR.subject","N/A"
"Communication.context","","encounter
","",0,1,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/Encounter}
Reference {http://hl7.org/fhir/StructureDefinition/EpisodeOfCare}","Encounter or episode leading to message","The encounter within which the communication was sent.","","","","","","","","","",,,,,"",,,,"Communication.context",0,1,"","","Event.context","context"
"Communication.sent","","","",0,1,"","","","dateTime
","When sent","The time when this communication was sent.","","","","","","","","","",,,,,"",,,,"Communication.sent",0,1,"","","Event.occurrenceDateTime (Invariant: maps to either sent OR received)","when.init"
"Communication.received","","","",0,1,"","","","dateTime
","When received","The time when this communication arrived at the destination.","","","","","","","","","",,,,,"",,,,"Communication.received",0,1,"","","RR.eICR.receiptDateTime","Event.occurrenceDateTime (Invariant: maps to either sent OR received)","when.done"
"Communication.sender","","Provider or Facility
","",0,1,"Y","","","Reference {http://hl7.org/fhir/StructureDefinition/Device}
Reference {http://hl7.org/fhir/us/core/StructureDefinition/us-core-organization}Reference {http://hl7.org/fhir/us/core/StructureDefinition/us-core-practitioner}","Message sender","The entity (e.g. person, organization, clinical information system, or device) which was the source of the communication.","If only representing only a Provider or  only a Facility use this element. If representing both a Provider and a Facility use this element to represent the Provider and the *onBehalfOf* Extension to represent the Facility.","","","","","","","","",,,,,"",,,,"Communication.sender",0,1,"","","RR.provider|RR.facility","Event.performer.actor","who.actor"
"Communication.sender.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Communication.sender.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
"Communication.sender.extension","onBehalfOf","Facility
","",0,1,"Y","","","Extension {http://fhir.hl7.org/us/case/StructureDefinition/extension-on-behalf-of}
","Extension","An Extension","If representing both a sending Provider and a  sending Facility use this Extension to represent the Facility.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","RR.facility"
"Communication.sender.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Communication.sender.extension.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
"Communication.sender.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://fhir.hl7.org/us/case/StructureDefinition/extension-on-behalf-of""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Communication.sender.extension.valueReference","","","",0,1,"","","","Reference {http://hl7.org/fhir/us/core/StructureDefinition/us-core-organization}
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","","N/A"
"Communication.sender.reference","","","",0,1,"","","Y","string
","Literal reference, Relative, internal or absolute URL","A reference to a location at which the other resource is found. The reference may be a relative reference, in which case it is relative to the service base URL, or an absolute URL that resolves to the location where the resource is found. The reference may be version specific or not. If the reference is not to a FHIR RESTful server, then it should be assumed to be version specific. Internal fragment references (start with '#') refer to contained resources.","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""/[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.","","","","","","","","",,,,,"",,,,"Reference.reference",0,1,"ref-1
","","N/A"
"Communication.sender.identifier","","","",0,1,"","","Y","Identifier
","Logical reference, when literal reference is not known","An identifier for the other resource. This is used when there is no way to reference the other resource directly, either because the entity is not available through a FHIR server, or because there is no way for the author of the resource to convert a known identifier to an actual location. There is no requirement that a Reference.identifier point to something that is actually exposed as a FHIR instance, but it SHALL point to a business concept that would be expected to be exposed as a FHIR instance, and that instance would need to be of a FHIR resource type allowed by the reference.","When an identifier is provided in place of a reference, any system processing the reference will only be able to resolve the identifier to a reference if it understands the business context in which the identifier is used. Sometimes this is global (e.g. a national identifier) but often it is not. For this reason, none of the useful mechanisms described for working with references (e.g. chaining, includes) are possible, nor should servers be expected to be able resolve the reference. Servers may accept an identifier based reference untouched, resolve it, and/or reject it - see CapabilityStatement.rest.resource.referencePolicy. 

When both an identifier and a literal reference are provided, the literal reference is preferred. Applications processing the resource are allowed - but not required - to check that the identifier matches the literal reference

Applications converting a logical reference to a literal reference may choose to leave the logical reference present, or remove it.","","","","","","","","",,,,,"",,,,"Reference.identifier",0,1,"","",".identifier"
"Communication.sender.display","","","",0,1,"","","Y","string
","Text alternative for the resource","Plain text narrative that identifies the resource in addition to the resource reference.","This is generally not the same as the Resource.text of the referenced resource.  The purpose is to identify what's being referenced, not to fully describe it.","","","","","","","","",,,,,"",,,,"Reference.display",0,1,"","","N/A"
"Communication.reasonCode","","RCTC trigger code
","",0,*,"Y","","Y","CodeableConcept
","Reportable Condition","A code indicating a condition associated with an RCTC trigger code in the eICR.","Textual reasons can be caprued using reasonCode.text.","","","","","","","","",,"example","Indicate a condition associated with an RCTC trigger code in the eICR","http://fhir.hl7.org/us/case/ValueSet/rctc","",,,,"Communication.reasonCode",0,*,"","","RR.ReportableCondition","Event.reasonCodableConcept","why",".reasonCode"
"Communication.reasonReference","","","",0,*,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/Condition}
Reference {http://hl7.org/fhir/StructureDefinition/Observation}","Why was communication done?","Indicates another resource whose existence justifies this communication.","","","","","","","","","",,,,,"",,,,"Communication.reasonReference",0,*,"","","Event.reasonReference","why",".outboundRelationship[typeCode=RSON].target"
"Communication.payload","","","",0,*,"Y","","","BackboneElement
","Message payload","Text, attachment(s), or resource(s) that was communicated to the recipient.","","","","","","","","","",,,,,"",,,,"Communication.payload",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
","RR.eICR"
"Communication.payload.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Communication.payload.extension","","","",0,*,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"",""
"Communication.payload.extension","manuallyInitiated","","",0,1,"Y","","","Extension {http://fhir.hl7.org/us/case/StructureDefinition/extension-manual-init}
","Manually Initiated eICR","If the incoming eICR was manually generated by the provider (as opposed to automatically-generated based on the existence of a trigger code from the RCTC) then this will be present.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","RR.eICR.manuallyInitiated"
"Communication.payload.extension","manuallyInitiatedReason","","",0,1,"Y","","","Extension {http://fhir.hl7.org/us/case/StructureDefinition/extension-manual-init-reason}
","Initial Case Report Manual Initiation Reason*","Reason for manual initiation of the eICR.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","RR.eICR.manuallyInitiatedReason"
"Communication.payload.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Communication.payload.content[x]","","","",1,1,"","","","Reference {http://hl7.org/fhir/StructureDefinition/DocumentReference}
Reference {http://hl7.org/fhir/StructureDefinition/Binary}","Message part content","A communicated content (or for multi-part communications, one portion of the communication).","","","","","","","","","",,,,,"",,,,"Communication.payload.content[x]",1,1,"",""
"Communication.payload.content[x].id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Communication.payload.content[x].extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
"Communication.payload.content[x].reference","","","",0,1,"Y","","Y","string
","Reference to eICR CDA Document","At a minimum, each Reportability Response should contain the unique document ID associated with the eICR that initiated its generation.","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""/[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.","","","","","","","","",,,,,"",,,,"Reference.reference",0,1,"ref-1
","","RR.eICR.CDADocumentReference","N/A"
"Communication.payload.content[x].identifier","","","",0,1,"Y","","Y","Identifier
","eICR CDA Document ID*","At a minimum, each Reportability Response should contain the unique document ID associated with the eICR that initiated its generation.","When an identifier is provided in place of a reference, any system processing the reference will only be able to resolve the identifier to a reference if it understands the business context in which the identifier is used. Sometimes this is global (e.g. a national identifier) but often it is not. For this reason, none of the useful mechanisms described for working with references (e.g. chaining, includes) are possible, nor should servers be expected to be able resolve the reference. Servers may accept an identifier based reference untouched, resolve it, and/or reject it - see CapabilityStatement.rest.resource.referencePolicy. 

When both an identifier and a literal reference are provided, the literal reference is preferred. Applications processing the resource are allowed - but not required - to check that the identifier matches the literal reference

Applications converting a logical reference to a literal reference may choose to leave the logical reference present, or remove it.","","","","","","","","",,,,,"",,,,"Reference.identifier",0,1,"","","RR.eICR.CDADocumentID",".identifier"
"Communication.payload.content[x].display","","","",0,1,"Y","","Y","string
","Filename of eICR","The filename of the eICR (to assist with troubleshooting in the event that the eICR cannot be parsed).","This is generally not the same as the Resource.text of the referenced resource.  The purpose is to identify what's being referenced, not to fully describe it.","","","","","","","","",,,,,"",,,,"Reference.display",0,1,"","","RR.eICR.filename","N/A"
"Communication.note","","","",0,*,"Y","","","Annotation
","Comments made about the communication","Additional notes or commentary about the communication by the sender, receiver or other interested parties.","","","","","","","","","",,,,,"",,,,"Communication.note",0,*,"","","Event.note"
